"Nid","Partner","Partner Type","Partner Logo","Body","Email","Website","Address","Postcode","Lat","Lon"
"1924","Comparative Research Netwrok ","social licensee","","CRN is actively involved in scientific research, teaching and cultural activities that link the realm of ideas with everyday experience. As our name indicates, we work internationally and cross-culturally. Only through thoughtful comparison can we interpret our local reality, render it more comprehensible and develop strategies to address the issues that affect our everyday lives. CRN performs research both as a partner within international consortia as within the scope of its own projects. CRN publishes a working paper series that communicates the work of its members to a wider audience.","","http://www.comparative-research.net/","Kameruner Straße 45","D–13351 Berlin","52.5495176","13.3457616"
"1923","Manchester Metropolitan University - Student Union ","social licensee","","The student union is an independent charity that exists to represent the needs and views of all 37,000 students at MMU. There has been a Students’ Union for what we now call Manchester Metropolitan University since the 1920s. Over the last one hundred years, the role of The Union and the part it plays in student education and wellbeing has grown and developed into the organisation we are today. Students are at the heart of what we do. Every year, students elect a team of Student Officers to lead The Union and represent their needs.The Officer team works closely with our staff team to provide a wide range of services, activities and opportunities to offer the best possible student experience. We’re on hand at both the Manchester and Cheshire campuses.","","https://www.theunionmmu.org/","The Union 21 Higher Cambridge Street Manchester ","M15 6AD","53.467579","-2.2396257"
"1922","Nutmeg","social licensee","","Nutmeg Community is an award winning charity working with young people to promote self-reliant, sustainable, cohesive and prosperous communities. Our slogan ‘Get a Piece of da Peace’ encourages young people to recognise that they are a piece of the jigsaw and play a part in bringing peace to their communities.

We deliver an array of highly effective projects engaging with hard to reach young people across the London Borough of Barnet, particularly in areas of high need (Grahame Park, West Hendon, Burnt Oak, and Edgware). Projects have included providing mentoring, organising community cohesion events, delivering workshops and promoting volunteering opportunities.","","http://www.nutmegcommunity.org/","Edgeware London ","","51.615786","-0.262034"
"1921","Healthwatch Bolton","social licensee","","Healthwatch Bolton will work to help local people get the best out of their health and social care services. Whether it’s improving them today or helping to shape them for tomorrow. Local Healthwatch is all about local voices being able to influence the delivery and design of local services. Not just the people who use them right now, but anyone who might need to use services in future.","info@healthwatchbolton.co.uk","http://healthwatchbolton.co.uk/","St George’s House, 2 St George’s Road, Bolton "," BL1 2DD","53.5816496","-2.4313025"
"1920","CVAT","social licensee","","Third Sector Infrastructure support organisation based in Tameside Greater Manchester. They support all the voluntary, community and faith groups in Tameside. CVAT help these good causes bring about change and to give them a louder voice.","","http://www.cvat.org.uk/","131 Katherine St, Ashton-under-Lyne ","OL6 7AW","53.4884785","-2.0975209"
"1919","Freiwilligen Agentur Ingolstad","social licensee","","Volunteer support organisation based in Ingolstad Germany ","","http://www.freiwilligenagentur-in.de/home/index.html","Kreuzstraße 12, Ingolstadt, Germany  ","85049 Ingolstadt ","48.76379","11.41921"
"1914","Charity Aid and Development Foundation for Africa. (CADFA)","social licensee","","CADFA works to improve the  quality of support, information  and resources available to charities and voluntary organisations in Africa.","patrick@cadfa.org.ng","http://www.cadfa.org.ng/index.html","Barumak Estate House Dx32, By NNPC Filling Station Wuye District, Abuja. Nigeria","","9.066667","7.483333"
"1913","EPSY.ME","social licensee","","E.PSY.ME. (Psycho-Social Research Organization) is a Non Governmental Organization, founded in 1998, by professionals, specialized in mental health and scientific sector customized training fields. The activated projects and services are addressed to citizens of Piraeus and surrounding Attiki' s suburbs, affected by mental disabilities, psychiatric problems and autism spectrum disorders, targeted to avoid their social exclusion.
 ","","http://www.epsyme.gr/ep/catid01.htm","athens","18543","37.9559281","23.6502401"
"1912","Greater Manchester Youth Net ","social licensee","","Greater Manchester Youth Network (GMYN) is a registered charity (reg no. 1151897). We work to enable young people and organisations to participate, develop and achieve. We aim to do this by offering a variety of activities that will engage and empower young people and by capacity building the organisations that work with them.","info@gmyn.co.uk","http://www.gmyn.co.uk/cm/","27 Ardwick Green North Manchester,"," M12 6FZ","53.4724538","-2.2258326"
"1911","Shores Community Centre ","social licensee","","The Southern Holderness Resource Centre (SHoRes Centre) has been established by the local community campaigning long and hard for a provision that can benefit each and every individual within Southern Holderness. The result of this public demand is a bespoke building that currently accommodates various community groups as well as function room, meeting room, IT and multi-media facilities, as well as a healthy living kitchen that provides healthy nutritional meals.The enterprises are varied, from a domicillary care provider, Shores Homecare Limited, a training provider in Shores TEAM Limited, a community radio station SEASIDE FM and the centre community café, Shores Community Diner Limited.","info@shores.org.uk","http://www.shores.org.uk/shores-centre/","29-31 Withernsea Road, Withernsea,  East Yorkshire. ","HU19 2DL","53.7105119","0.0400396"
